"","owner","name","date","version","version_ext","V1","V2","V3","calculated_ver"
"1522","meteor","meteor",2014-10-13,"release/METEOR@0.9.4-rc.8","0.9.4","0","9","4",9004
"1523","meteor","meteor",2014-10-12,"release/METEOR@0.9.4-rc.7","0.9.4","0","9","4",9004
"1524","meteor","meteor",2014-10-11,"release/METEOR@0.9.4-rc.6","0.9.4","0","9","4",9004
"1525","meteor","meteor",2014-10-10,"release/METEOR@0.9.4-rc.5","0.9.4","0","9","4",9004
"1526","meteor","meteor",2014-10-10,"release/METEOR@0.9.4-rc.4","0.9.4","0","9","4",9004
"1527","meteor","meteor",2014-10-09,"release/METEOR@0.9.4-rc.3","0.9.4","0","9","4",9004
"1528","meteor","meteor",2014-10-09,"release/TEST@0.9.4-proc-test2","0.9.4","0","9","4",9004
"1529","meteor","meteor",2014-10-09,"release/TEST@0.9.4-proc-test","0.9.4","0","9","4",9004
"1530","meteor","meteor",2014-10-09,"release/METEOR@0.9.4-rc.2","0.9.4","0","9","4",9004
"1531","meteor","meteor",2014-10-09,"release/METEOR@0.9.4-nim.2","0.9.4","0","9","4",9004
"1532","meteor","meteor",2014-10-09,"release/METEOR@0.9.4-nim.1","0.9.4","0","9","4",9004
"1533","meteor","meteor",2014-10-09,"release/METEOR@0.9.4-nim.0","0.9.4","0","9","4",9004
"1534","meteor","meteor",2014-10-08,"release/METEOR@0.9.4-rc.1","0.9.4","0","9","4",9004
"1535","meteor","meteor",2014-10-08,"release/METEOR@0.9.4-rc.0","0.9.4","0","9","4",9004
"1536","meteor","meteor",2014-10-04,"release/METEOR@0.9.4-pre.11","0.9.4","0","9","4",9004
"1537","meteor","meteor",2014-10-04,"release/METEOR@0.9.4-pre.10","0.9.4","0","9","4",9004
"1538","meteor","meteor",2014-10-04,"release/METEOR@0.9.4-pre.9","0.9.4","0","9","4",9004
"1539","meteor","meteor",2014-10-03,"release/METEOR@0.9.4-pre.8","0.9.4","0","9","4",9004
"1540","meteor","meteor",2014-10-03,"release/METEOR@0.9.4-pre.7","0.9.4","0","9","4",9004
"1541","meteor","meteor",2014-10-02,"release/METEOR@0.9.4-pre.6","0.9.4","0","9","4",9004
"1542","meteor","meteor",2014-10-02,"release/METEOR@0.9.4-pre.5","0.9.4","0","9","4",9004
"1543","meteor","meteor",2014-10-02,"release/METEOR@0.9.4-aaa.1","0.9.4","0","9","4",9004
"1544","meteor","meteor",2014-10-02,"release/METEOR@0.9.4-aaa.0","0.9.4","0","9","4",9004
"1545","meteor","meteor",2014-10-02,"release/METEOR@0.9.4-pre.4","0.9.4","0","9","4",9004
"1546","meteor","meteor",2014-10-01,"release/METEOR@0.9.4-pre.3","0.9.4","0","9","4",9004
"1547","meteor","meteor",2014-10-01,"release/METEOR@0.9.4-pre.2","0.9.4","0","9","4",9004
"1548","meteor","meteor",2014-10-01,"release/METEOR@0.9.3.1","0.9.3","0","9","3",9003
"1549","meteor","meteor",2014-09-30,"release/METEOR@0.9.3.1-rc.0","0.9.3","0","9","3",9003
"1550","meteor","meteor",2014-09-30,"release/METEOR@0.9.4-pre.1","0.9.4","0","9","4",9004
"1551","meteor","meteor",2014-09-30,"release/METEOR@0.9.4-pre.0","0.9.4","0","9","4",9004
"1552","meteor","meteor",2014-09-26,"release/METEOR@0.9.3","0.9.3","0","9","3",9003
"1553","meteor","meteor",2014-09-25,"release/METEOR@0.9.3-rc8","0.9.3","0","9","3",9003
"1554","meteor","meteor",2014-09-25,"release/METEOR@0.9.3-rc7","0.9.3","0","9","3",9003
"1555","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-exp9","0.9.3","0","9","3",9003
"1556","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-exp8","0.9.3","0","9","3",9003
"1557","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-exp7","0.9.3","0","9","3",9003
"1558","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-rc6","0.9.3","0","9","3",9003
"1559","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-exp6","0.9.3","0","9","3",9003
"1560","meteor","meteor",2014-09-23,"release/METEOR@0.9.3-exp5","0.9.3","0","9","3",9003
"1561","meteor","meteor",2014-09-21,"release/METEOR@0.9.3-rc5","0.9.3","0","9","3",9003
"1562","meteor","meteor",2014-09-21,"release/METEOR@0.9.3-exp4","0.9.3","0","9","3",9003
"1563","meteor","meteor",2014-09-21,"release/METEOR@0.9.3-exp3","0.9.3","0","9","3",9003
"1564","meteor","meteor",2014-09-21,"release/METEOR@0.9.3-exp2","0.9.3","0","9","3",9003
"1565","meteor","meteor",2014-09-21,"release/METEOR@0.9.3-exp","0.9.3","0","9","3",9003
"1566","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc4","0.9.3","0","9","3",9003
"1567","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc2","0.9.3","0","9","3",9003
"1568","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc1f","0.9.3","0","9","3",9003
"1569","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc1e","0.9.3","0","9","3",9003
"1570","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc1","0.9.3","0","9","3",9003
"1571","meteor","meteor",2014-09-20,"release/METEOR@0.9.3-rc0","0.9.3","0","9","3",9003
"1572","meteor","meteor",2014-09-18,"release/METEOR@0.9.2.2","0.9.2","0","9","2",9002
"1573","meteor","meteor",2014-09-15,"release/METEOR@0.9.2.1","0.9.2","0","9","2",9002
"1574","meteor","meteor",2014-09-15,"release/METEOR@0.9.2","0.9.2","0","9","2",9002
"1575","meteor","meteor",2014-09-15,"release/METEOR@0.9.3-cs-preview","0.9.3","0","9","3",9003
"1576","meteor","meteor",2014-09-12,"release/METEOR@0.9.2-rc8","0.9.2","0","9","2",9002
"1577","meteor","meteor",2014-09-12,"release/METEOR@0.9.2-rc7","0.9.2","0","9","2",9002
"1578","meteor","meteor",2014-09-11,"release/METEOR@0.9.2-rc6","0.9.2","0","9","2",9002
"1579","meteor","meteor",2014-09-11,"release/METEOR@0.9.2-rc5","0.9.2","0","9","2",9002
"1580","meteor","meteor",2014-09-10,"release/METEOR@0.9.2-rc4","0.9.2","0","9","2",9002
"1581","meteor","meteor",2014-09-09,"release/METEOR@0.9.2-rc3","0.9.2","0","9","2",9002
"1582","meteor","meteor",2014-09-09,"release/METEOR@0.9.2-rc2","0.9.2","0","9","2",9002
"1583","meteor","meteor",2014-09-06,"release/METEOR@0.9.1.1","0.9.1","0","9","1",9001
"1584","meteor","meteor",2014-09-06,"release/METEOR@0.9.2-rc1","0.9.2","0","9","2",9002
"1585","meteor","meteor",2014-09-05,"release/GLASSER-TEST@speed",NA,NA,NA,NA,NA
"1586","meteor","meteor",2014-09-04,"release/METEOR@0.9.1","0.9.1","0","9","1",9001
"1587","meteor","meteor",2014-09-04,"release/METEOR@0.9.1-rc4","0.9.1","0","9","1",9001
"1588","meteor","meteor",2014-09-02,"release/METEOR@0.9.2-rc0","0.9.2","0","9","2",9002
"1589","meteor","meteor",2014-09-01,"release/METEOR@0.9.1-rc3","0.9.1","0","9","1",9001
"1590","meteor","meteor",2014-08-28,"release/METEOR@0.9.1-rc2","0.9.1","0","9","1",9001
"1591","meteor","meteor",2014-08-28,"release/METEOR@0.9.1-rc1","0.9.1","0","9","1",9001
"1592","meteor","meteor",2014-08-28,"release/METEOR@0.9.1-rc0","0.9.1","0","9","1",9001
"1593","meteor","meteor",2014-08-28,"release/CORDOVA-PREVIEW@5",NA,NA,NA,NA,NA
"1594","meteor","meteor",2014-08-27,"release/METEOR@0.9.0.1","0.9.0","0","9","0",9000
